Variables,Meanings,Units
BIO1,Annual Mean Temperature,°C
BIO2,Mean Diurnal Range (Mean of monthly (Maximum Temperature - Minimum Temperature)),°C
BIO3,Isothermality (BIO2/BIO7) (×100),%
BIO4,Temperature Seasonality (standard deviation ×100),%
BIO5,Maximum Temperature of Warmest Month,°C
BIO6,Minimum Temperature of Coldest Month,°C
BIO7,Temperature Annual Range (BIO5-BIO6),°C
BIO8,Mean Temperature of Wettest Quarter,°C
BIO9,Mean Temperature of Driest Quarter,°C
BIO10,Mean Temperature of Warmest Quarter,°C
BIO11,Mean Temperature of Coldest Quarter,°C
BIO12,Annual Precipitation,mm
BIO13,Precipitation of Wettest Month,mm
BIO14,Precipitation of Driest Month,mm
BIO15,Precipitation Seasonality (Coefficient of Variation),%
BIO16,Precipitation of Wettest Quarter,mm
BIO17,Precipitation of Driest Quarter,mm
BIO18,Precipitation of Warmest Quarter,mm
BIO19,Precipitation of Coldest Quarter,mm
