Background Variables,VIF,VIF<5
BIO1,2464.191,
BIO2,1745.161,
BIO3,870.6149,2.209088
BIO4,657.4467,
BIO5,4.99E+11,3.638016
BIO6,2.18E+12,
BIO7,1.15E+12,2.27468
BIO8,3.688451,1.943334
BIO9,3.732693,2.426107
BIO10,2238.84,
BIO11,2322.154,
BIO12,205.8177,
BIO13,17.11219,
BIO14,35.07292,
BIO15,16.49552,1.429695
BIO16,66.81824,
BIO17,128.8053,
BIO18,58.1283,1.978972
BIO19,101.929,
Available Water Contents,5.320439,2.150087
Calcium Carbonate Content,3.122798,2.881087
Cation Exchange Capacity at pH 7,2.634999,2.296924
Total Clay Content,5.416932,3.842425
Flooding Frequency in Domestic Condition,4.727575,
Maximum Flooding Frequency,4.199965,1.074662
Dominant Forest Productivity Rating,2.544541,2.228628
Digital Elevation Model (Elevation),10.01277,
Mean Annual Evapotranspiration,3.91044,3.485746
Distance from roads,1.700354,1.651821
Distance from streams,1.137486,1.079694
Organic Matter Content in Topsoil,7.091824,
Topsoil pH in 1:1 H₂O Solution,4.481995,4.115014
Total Sand Content,3.298652,2.479985
Total Silt Content,8.49752,
Slope Gradient of Domestic Component Percent,1.604577,1.446305
